"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"162",8,64,125,44,75
"163",8,83,125,44,75
"164",11,72,7,7,7
"165",814,941,125,44,75
"166",12,62,125,44,75
"167",11,62,120,44,73
"168",13,74,9,7,14
"169",6,75,8,5,13
"170",5,52,125,44,75
"171",12,58,125,44,75
"172",17,72,125,44,75
"173",10,84,125,44,75
"174",8,58,12,7,16
"175",13,77,9,5,9
"176",814,941,125,44,75
"177",9,73,125,44,75
"178",4,71,8,7,18
"179",812,941,125,44,75
"180",8,65,125,44,75
"181",8,79,11,10,15
"182",10,85,125,44,75
"183",14,69,125,44,75
"184",11,63,10,7,15
"185",814,941,125,44,75
"186",814,941,125,44,75
"187",4,77,11,7,18
"188",5,64,125,44,75
"189",9,63,125,44,75
"190",7,62,125,44,75
"191",13,71,124,43,75
"192",13,64,125,44,75
"193",12,59,125,44,75
"194",9,50,125,44,75
"195",6,57,125,44,75
"196",12,61,8,8,16
"197",814,941,125,44,75
"198",5,64,3,6,16
"199",8,72,125,44,75
"200",7,56,125,44,75
"201",814,941,125,44,75
"202",814,941,125,44,75
"203",814,941,125,44,75
"204",12,69,6,9,6
"205",11,83,10,10,17
"206",814,941,125,44,75
"207",814,941,125,44,75
"208",6,69,124,44,75
"209",13,60,125,44,74
"210",10,83,123,44,75
"211",814,941,125,44,75
"212",13,70,125,44,75
"213",6,71,125,44,75
"214",7,58,6,13,11
"215",15,86,125,44,75
"216",6,58,10,6,8
"217",9,71,124,43,75
"218",8,61,8,4,10
"219",19,58,125,44,75
"220",5,76,125,44,75
"221",814,941,125,44,75
"222",7,58,15,8,9
"223",6,66,125,44,75
"224",8,64,125,44,75
"225",23,104,125,44,75
"226",10,75,125,44,75
"227",15,67,125,44,75
"228",12,61,125,44,75
"229",814,941,125,44,75
"230",11,56,125,44,75
"231",9,87,12,9,17
"232",11,70,125,44,75
"233",5,69,9,14,19
"234",814,941,125,44,75
"235",4,66,4,9,8
"236",14,66,7,11,10
"237",11,79,10,8,16
"238",12,83,5,12,16
"239",10,60,124,44,74
"240",19,57,124,44,73
"241",8,74,125,44,75
"242",18,62,7,4,9
"243",10,54,10,4,15
"244",17,73,10,6,9
"245",6,59,9,7,8
"246",12,60,9,7,6
"247",814,940,125,44,75
"248",10,46,6,6,8
"249",814,941,125,44,75
"250",9,58,11,12,15
"251",14,62,125,44,75
"252",7,65,125,44,75
"253",19,73,18,6,13
"254",8,67,125,44,75
"255",6,79,125,44,75
"256",8,67,12,8,13
"257",814,941,125,44,75
"258",14,72,125,44,75
"259",814,941,125,44,75
"260",11,58,125,44,75
"261",14,71,21,10,20
"262",9,59,124,44,74
"263",8,57,125,44,75
"264",13,69,125,44,75
"265",9,54,125,44,75
"266",14,64,5,2,13
"267",13,61,7,9,11
"268",19,68,8,6,14
"269",7,59,125,44,75
"270",10,73,13,6,17
"271",6,76,125,44,75
"272",7,61,125,44,75
"273",10,69,125,44,75
"274",11,70,10,8,24
"275",8,89,11,11,19
"276",12,72,125,44,74
"277",11,62,6,4,8
"278",11,64,125,44,75
"279",10,88,125,44,75
"280",8,59,4,12,13
"281",15,87,125,44,75
"282",9,72,125,43,75
"283",9,57,5,6,11
"284",814,941,125,44,75
"285",14,80,125,44,75
"286",11,66,125,44,75
"287",15,74,125,44,75
"288",10,76,125,44,75
"289",814,941,125,44,75
"290",10,85,8,12,18
"291",6,56,5,7,10
"292",814,940,125,44,75
"293",11,53,124,44,75
"294",9,55,5,9,7
"295",5,50,125,44,75
"296",12,80,3,3,9
"297",8,62,9,11,14
"298",8,55,125,44,74
"299",9,64,125,44,75
"300",14,65,125,44,75
"301",11,59,5,10,9
"302",11,66,5,7,6
"303",12,61,125,44,75
"304",14,62,125,44,75
"305",8,71,125,44,75
"306",814,941,125,44,75
"307",8,67,125,44,75
"308",8,59,125,44,75
"309",812,940,125,44,75
"310",13,101,124,44,75
"311",13,64,6,8,14
"312",7,67,125,44,75
"313",8,76,5,6,9
"314",814,941,125,44,75
"315",11,80,125,44,75
"316",10,89,125,44,75
"317",10,52,125,44,75
"318",12,68,125,44,75
"319",6,47,125,44,75
"320",8,52,5,3,7
"321",13,59,125,44,75
"322",11,76,7,5,15
"323",14,59,125,44,75
"324",13,61,125,44,75
"325",9,64,125,44,75
"326",813,941,125,44,75
"327",15,74,124,44,75
"328",7,85,125,44,75
"329",10,59,7,8,23
"330",12,68,7,6,12
"331",7,66,123,44,73
"332",13,66,125,44,75
"333",814,941,125,44,75
"334",6,52,5,5,12
"335",11,61,10,13,14
"336",11,63,125,44,75
"337",6,68,13,11,18
"338",814,940,125,44,75
"339",10,62,16,9,13
"340",6,58,10,10,10
"341",10,71,11,12,19
"342",11,76,12,9,22
"343",813,941,125,44,75
"344",3,68,125,44,75
"345",814,939,125,44,75
"346",12,76,9,8,17
"347",13,70,125,43,75
"348",8,64,125,44,75
"349",7,71,12,5,14
"350",4,59,6,7,16
"351",6,79,8,6,12
"352",813,941,125,44,75
"353",11,70,125,44,75
"354",3,49,125,44,75
"355",8,90,124,44,74
"356",14,64,11,10,17
"357",14,80,124,44,75
"358",814,941,125,44,75
"359",7,65,10,7,7
"360",7,53,125,44,75
"361",15,78,125,44,75
"362",813,941,125,44,75
"363",12,67,125,44,75
"364",18,59,125,44,75
"365",7,76,5,10,17
"366",3,50,123,43,75
"367",11,67,124,44,75
"368",814,941,125,44,75
"369",6,77,125,44,75
"370",11,79,9,5,17
"371",12,62,125,44,75
"372",814,941,125,44,75
"373",14,69,125,44,75
"374",4,67,125,44,75
"375",8,62,125,44,75
"376",16,58,125,44,75
"377",17,61,4,2,10
"378",5,59,10,10,19
"379",9,76,125,44,75
"380",7,57,124,44,75
"381",12,72,124,44,75
"382",10,71,125,44,75
"383",814,941,125,44,75
"384",814,941,125,44,75
"385",9,59,5,2,9
"386",16,73,4,5,12
"387",814,941,125,44,75
"388",8,52,124,44,75
"389",17,83,125,44,75
"390",5,85,125,44,75
"391",15,73,125,43,75
"392",814,941,125,44,75
"393",814,941,125,44,75
"394",10,61,5,5,7
"395",8,53,14,11,20
"396",10,87,125,44,75
"397",8,71,125,44,75
"398",11,61,11,8,17
"399",8,61,125,44,75
"400",14,69,125,43,75
"401",24,74,125,44,75
"402",18,78,2,3,7
"403",10,66,4,6,14
"404",9,54,3,3,6
"405",11,82,10,10,16
"406",812,941,125,44,75
"407",814,941,125,44,75
"408",12,76,5,5,13
"409",15,70,125,44,75
"410",8,53,125,44,75
"411",8,66,8,7,8
"412",9,60,125,44,75
"413",5,40,124,44,75
"414",9,79,125,44,75
"415",814,941,125,44,75
"416",11,60,125,44,75
"417",20,67,8,6,15
"418",10,58,10,15,7
"419",17,64,12,6,10
"420",9,65,125,44,75
"421",8,76,4,2,11
"422",10,90,7,5,15
"423",814,941,125,44,75
"424",814,941,125,44,75
"425",9,67,125,44,75
"426",814,941,125,44,75
"427",9,55,9,9,4
"428",19,80,125,44,75
"429",16,79,124,44,75
"430",12,62,5,6,11
"431",8,62,10,6,13
"432",12,58,125,43,75
"433",4,54,125,44,75
"434",11,77,125,44,75
"435",15,71,125,44,75
"436",9,57,7,2,5
"437",12,57,125,44,75
"438",6,66,125,44,75
"439",10,49,125,44,75
"440",5,75,125,44,75
"441",8,67,125,44,75
"442",814,941,125,44,75
"443",814,939,125,44,75
"444",13,76,125,44,75
"445",10,71,18,14,24
"446",8,57,125,44,75
"447",6,57,125,44,75
"448",8,72,125,44,75
"449",10,86,125,44,75
"450",814,941,125,44,75
"451",8,71,12,15,15
"452",11,60,125,44,75
"453",814,941,125,44,75
"454",11,72,125,43,75
"455",5,59,7,9,11
"456",9,66,125,44,75
"457",8,74,6,13,15
"458",13,68,125,44,75
"459",5,67,13,5,12
"460",11,79,125,44,75
"461",814,941,125,44,75
"462",6,82,125,44,75
"463",13,77,125,43,74
"464",5,59,125,44,75
"465",10,81,9,4,7
"466",7,62,124,44,75
"467",814,941,125,44,75
"468",7,77,125,44,75
"469",11,84,2,1,8
"470",9,65,124,44,75
"471",9,66,125,44,75
"472",7,67,125,44,74
"473",8,63,125,44,75
"474",8,54,16,8,16
"475",9,77,125,44,74
"476",814,941,125,44,75
"477",814,941,125,44,75
"478",12,56,3,6,16
"479",13,83,5,7,16
"480",8,70,125,44,75
"481",4,74,125,44,75
"482",6,61,3,3,17
"483",4,51,125,44,75
"484",814,941,125,44,75
"485",12,65,4,5,14
"486",8,57,13,5,9
"487",5,76,6,7,13
"488",8,58,125,44,75
"489",8,66,125,44,75
"490",814,940,125,44,75
"491",8,74,124,44,74
"492",9,58,13,15,19
"493",3,61,10,7,12
"494",9,66,125,44,75
"495",14,70,9,8,18
"496",5,69,125,44,75
"497",6,67,2,5,5
"498",814,941,125,44,75
"499",11,53,12,8,8
"500",814,941,125,44,75
